1,1,1,1,0
2,1,1,1,0
5,1,1,1,0
6,1,1,1,0
44,1,1,1,0
46,1,1,1,0
66,1,1,1,0
68,1,1,1,0
88,1,1,1,0
90,1,1,1,0
110,1,1,1,0
112,1,1,1,0
132,1,1,1,0
134,1,1,1,0
154,1,1,1,0
156,1,1,1,0
176,1,1,1,0
178,1,1,1,0
198,1,1,1,0
200,1,1,1,0
220,1,1,1,0
222,1,1,1,0
242,1,1,1,0
245,1,1,1,0
264,1,1,1,0
275,1,1,1,0
286,1,1,1,0
297,1,1,1,0
308,1,1,1,0
319,1,1,1,0
330,1,1,1,0
341,1,1,1,0
352,1,1,1,0
363,1,1,1,0
366,1,1,1,0
385,1,1,1,0
396,1,1,1,0
407,1,1,1,0
418,1,1,1,0
429,1,1,1,0
440,1,1,1,0
451,1,1,1,0
462,1,1,1,0
473,1,1,1,0
484,1,1,1,0
487,1,1,1,0
506,1,1,1,0
517,1,1,1,0
528,1,1,1,0
539,1,1,1,0
550,1,1,1,0
561,1,1,1,0
572,1,1,1,0
583,1,1,1,0
594,1,1,1,0
605,1,1,1,0
608,1,1,1,0
627,1,1,1,0
638,1,1,1,0
649,1,1,1,0
660,1,1,1,0
671,1,1,1,0
682,1,1,1,0
693,1,1,1,0
704,1,1,1,0
715,1,1,1,0
726,1,1,1,0
729,1,1,1,0
748,1,1,1,0
759,1,1,1,0
770,1,1,1,0
781,1,1,1,0
792,1,1,1,0
803,1,1,1,0
814,1,1,1,0
825,1,1,1,0
836,1,1,1,0
847,1,1,1,0
850,1,1,1,0
869,1,1,1,0
880,1,1,1,0
891,1,1,1,0
902,1,1,1,0
913,1,1,1,0
924,1,1,1,0
935,1,1,1,0
946,1,1,1,0
957,1,1,1,0
968,1,1,1,0
971,1,1,1,0
990,1,1,1,0
1001,1,1,1,0
1012,1,1,1,0
1023,1,1,1,0
1034,1,1,1,0
1045,1,1,1,0
1056,1,1,1,0
1067,1,1,1,0
1078,1,1,1,0
1089,1,1,1,0
1092,1,1,1,0
1111,1,1,1,0
1122,1,1,1,0
1133,1,1,1,0
1144,1,1,1,0
1155,1,1,1,0
1166,1,1,1,0
1177,1,1,1,0
1188,1,1,1,0
1199,1,1,1,0
1210,1,1,1,0
1213,1,1,1,0
1232,1,1,1,0
1243,1,1,1,0
1254,1,1,1,0
1265,1,1,1,0
1276,1,1,1,0
1287,1,1,1,0
1298,1,1,1,0
1309,1,1,1,0
1320,1,1,1,0
